Study_Area,Salary_2018,Salary_2020,Dollar_Diff
Science and mathematics,61000,64000.0,3000.0
Computing and Information Systems,60000,65000.0,5000.0
Engineering,65000,69500.0,4500.0
Architecture and built environment,58700,64700.0,6000.0
Agriculture and environmental studies,58300,61500.0,3200.0
Health services and support,62600,65100.0,2500.0
Medicine,73000,75000.0,2000.0
Nursing,61600,64200.0,2600.0
Pharmacy,47000,49600.0,2600.0
Dentistry,83700,84000.0,300.0
Veterinary science,55000,57800.0,2800.0
Rehabilitation,62600,65000.0,2400.0
Teacher education,65500,70000.0,4500.0
Business and management,58000,60000.0,2000.0
"Humanities, culture and social sciences",58400,62600.0,4200.0
Social work,65600,70000.0,4400.0
Psychology,60000,63000.0,3000.0
Law and paralegal studies,61400,65000.0,3600.0
Creative arts,50100,52000.0,1900.0
Communications,52800,55600.0,2800.0
"Tourism, Hospitality, Personal Services, Sport and recreation",53500,53500.0,0.0
All,61000,64700.0,3700.0
Standard deviation,7800,7800.0,0.0
